username,unique_words,total_words,avg_word_frequency
Gus,183,261,1.4262295081967213
Hal,109,147,1.348623853211009
Ivy,38,48,1.263157894736842
Jan,125,164,1.312
Kim,139,213,1.5323741007194245
Leo,283,460,1.6254416961130742
Max,89,168,1.8876404494382022
Sam,51,83,1.6274509803921569
Ace,111,170,1.5315315315315314
Ash,55,86,1.5636363636363637
Bea,80,127,1.5875
Dot,50,81,1.62
Eve,126,216,1.7142857142857142
Fay,98,203,2.0714285714285716
Kit,79,133,1.6835443037974684
Moe,121,197,1.628099173553719
Pip,87,146,1.6781609195402298
Rex,114,200,1.7543859649122806
Lily,77,132,1.7142857142857142
Abby,107,173,1.6168224299065421
Finn,90,181,2.011111111111111
Jude,74,103,1.3918918918918919
Noel,76,142,1.868421052631579
Tess,82,145,1.7682926829268293
Bot,486,1894,3.897119341563786


