USER STATISTICS SUMMARY
Username,Games Played,Total Score,Average Score
Abby,6,40,6.67
Ace,5,47,9.40
Ash,5,10,2.00
Bea,5,47,9.40
Dot,5,35,7.00
Eve,7,58,8.29
Fay,7,44,6.29
Finn,5,21,4.20
Gus,6,21,3.50
Hal,6,47,7.83
Ivy,6,60,10.00
Jan,6,44,7.33
Jude,5,27,5.40
Kim,6,38,6.33
Kit,7,51,7.29
Leo,6,44,7.33
Lily,5,31,6.20
Max,6,57,9.50
Moe,8,74,9.25
Noel,5,30,6.00
Pip,7,61,8.71
Rex,8,51,6.38
Sam,6,41,6.83
Tess,6,27,4.50


SCORE FLOW
Username,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,Round 10
Abby,0,0,0,10,10,10,0,10
Ace,10,10,0,7,10,10,0,0
Ash,0,0,0,0,10,0,0,0
Bea,10,10,0,10,7,10,0,0
Dot,7,7,0,7,7,7,0,0
Eve,7,7,10,10,7,7,0,10
Fay,7,0,10,7,10,10,0,0
Finn,7,0,0,7,0,0,0,7
Gus,0,0,0,0,0,7,7,7
Hal,10,7,0,0,0,10,10,10
Ivy,10,10,0,0,10,10,10,10
Jan,7,10,0,0,0,7,10,10
Jude,10,0,0,10,0,0,0,7
Kim,0,7,0,0,7,10,7,7
Kit,7,10,0,10,7,10,0,7
Leo,10,10,0,0,10,7,7,0
Lily,7,0,0,7,7,0,0,10
Max,10,10,0,10,10,7,10,0
Moe,10,10,7,7,10,10,10,10
Noel,0,10,0,0,10,0,0,10
Pip,10,10,7,10,10,7,0,7
Rex,10,7,10,7,0,0,7,10
Sam,0,7,0,10,7,10,7,0
Tess,10,0,0,0,10,7,0,0


BOT STATISTICS
Metric,Value
Total Bot Score,194


ACCUSATION PATTERNS
Username,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,Round 10
Abby,2,2,,1,1,1,,1
Ace,1,1,,1,1,1,,
Ash,0,2,,2,1,2,,
Bea,1,1,,1,1,1,,
Dot,1,1,,1,1,1,,
Eve,1,1,1,1,1,1,,1
Fay,1,2,1,1,1,1,,2
Finn,1,2,,1,2,,,1
Gus,2,0,,,2,1,1,1
Hal,1,1,,,2,1,1,1
Ivy,1,1,,,1,1,1,1
Jan,1,1,,,0,1,1,1
Jude,1,2,,1,2,,,1
Kim,2,1,,,1,1,1,1
Kit,1,1,2,1,1,1,,1
Leo,1,1,,,1,1,1,2
Lily,1,2,,1,1,,,1
Max,1,1,,1,1,1,1,
Moe,1,1,1,1,1,1,1,1
Noel,2,1,,2,1,,,1
Pip,1,1,1,1,1,1,,1
Rex,1,1,1,1,2,0,1,1
Sam,2,1,,1,1,1,1,
Tess,1,2,,2,1,1,,2


ACCUSATION TIMES
Username,3,4,5,6,7,8,9,10
Abby,107.0,119.0,0,93.0,65.0,118.0,0,88.0
Ace,136.0,101.0,0,103.0,71.0,65.0,0,0
Ash,-1,117.0,0,73.0,100.0,64.0,0,0
Bea,85.0,86.0,0,56.0,74.0,50.0,0,0
Dot,57.0,98.0,0,65.0,110.0,87.0,0,0
Eve,225.0,83.0,90.0,107.0,128.0,95.0,0,118.0
Fay,124.0,97.0,53.0,78.0,123.0,102.0,0,194.0
Finn,103.0,128.0,0,100.0,85.0,0,0,103.0
Gus,292.0,-1,0,0,125.0,21.0,245.0,21.0
Hal,283.0,46.0,0,0,120.0,123.0,242.0,169.0
Ivy,38.0,37.0,0,0,13.0,12.0,15.0,15.0
Jan,50.0,220.0,0,0,-1,122.0,206.0,158.0
Jude,100.0,112.0,0,34.0,89.0,0,0,67.0
Kim,286.0,308.0,0,0,20.0,110.0,20.0,162.0
Kit,84.0,90.0,122.0,75.0,91.0,81.0,0,124.0
Leo,286.0,306.0,0,0,211.0,129.0,210.0,173.0
Lily,113.0,125.0,0,44.0,71.0,0,0,96.0
Max,50.0,109.0,0,64.0,30.0,69.0,38.0,0
Moe,77.0,77.0,66.0,112.0,77.0,175.0,214.0,98.0
Noel,101.0,166.0,0,84.0,72.0,0,0,62.0
Pip,119.0,63.0,93.0,111.0,85.0,179.0,0,104.0
Rex,221.0,68.0,113.0,116.0,72.0,-1,217.0,180.0
Sam,97.0,106.0,0,89.0,34.0,77.0,42.0,0
Tess,104.0,170.0,0,78.0,95.0,122.0,0,93.0


